;l-tpsa;u-tpsa;l-logp;u-logp;l-rb;u-rb;l-hbd;u-hbd;l-hba;u-hba;l-mw;u-mw;l-qed;u-qed;l-nring;u-nring;l-naring;u-naring;l-fsp3;u-fsp3;ic1;ic2
Organoheterocyclic compounds;-0.3744948663288854;-0.09448570410512891;-0.6042036426583437;-0.22468605774285305;-0.7277512587230477;-0.5423667151955114;-0.26210370405221983;-0.10205945376025409;-0.39585166259305143;0.006582651660932941;-0.669973338091271;-0.2569446194477763;0.26074662925774156;1.261548177797613;0.03243884816054766;0.868700375129662;-0.0297555275394042;1.302135117771427;-1.4184894621614483;-0.225752296551683;Neutral;Basic
Glycerolipids;-0.20754786998981684;-0.17425719102207216;0.76197757809809;0.9699083237643078;0.7089789536153591;0.9407096330247796;-0.26210370405221983;-0.26210370405221983;-0.12756211975706183;0.006582651660932941;0.21779794679961195;0.33616922092405954;-1.2066374913580382;-1.1853637744603502;-0.8038226788085667;-0.8038226788085667;-0.6957008501948198;-0.6957008501948198;0.6726816348194086;1.1453081516514856;Neutral;Acid
Benzenoids;-0.4024107734039794;-0.12492446329309968;-0.4619141975017246;-0.13466979440496255;-0.6814051228411636;-0.49602057931362725;-0.4221479543441855;-0.10205945376025409;-0.5299964340110462;-0.12756211975706183;-0.6213054944737285;-0.2665577512779521;0.2436282492307726;1.3799166543062569;-0.38569191532400954;0.4505696116451049;-0.0297555275394042;0.6361897951160114;-1.5605074057837394;-0.481171034254329;Neutral;Acid
Organic acids and derivatives;-0.19372702798014363;0.382648701742707;-0.8640770983096248;-0.5009778338078332;-0.6350589869592795;-0.21794376402232268;-0.10205945376025409;0.3780732971156431;-0.39585166259305143;0.2748721944969225;-0.6740281149857852;0.03974830983104971;-0.736913338434948;0.6230164210992609;-0.8038226788085667;0.4505696116451049;-0.6957008501948198;0.6361897951160114;-0.481171034254329;0.6300117852388676;Zwitterion;Acid
Organic oxygen compounds;-0.31405610484213986;0.38190829949218885;-1.056087230134219;-0.44924166871881155;-0.6350589869592795;-0.40332830754985904;-0.26210370405221983;0.5381175474076088;-0.39585166259305143;0.5431617373329121;-0.6925999288058388;-0.10081468053146565;-0.5418540047610643;0.44719251077626154;-0.8038226788085667;0.4505696116451049;-0.6957008501948198;-0.0297555275394042;-0.3837873014847585;1.408057940080086;Neutral;Acid
Other;-0.4263915796290969;2.856483443404702;-1.2674935933817117;-0.3190350999806007;-0.7277512587230477;1.2651325841979684;-0.4221479543441855;2.938781301787095;-0.5299964340110462;2.0187542229308546;-0.6339803396632477;2.1941963161412135;-1.2844210409574142;0.6385848377216113;-0.8038226788085667;1.2868311386142193;-0.6957008501948198;1.302135117771427;-0.481171034254329;0.46726503552731247;Neutral;Zwitterion
Steroids and steroid derivatives;-0.38507987628073836;-0.0695588283376826;-0.32321929981007985;0.040392995562524917;-0.7277512587230477;-0.49602057931362725;-0.26210370405221983;0.05798479653171163;-0.5299964340110462;-0.12756211975706183;-0.36551447439694496;-0.08798193518351267;0.16438621175500254;1.218311727691606;0.868700375129662;1.18229844774308;-0.6957008501948198;-0.6957008501948198;0.6095267727648643;1.2591943112261077;Neutral;Acid
Fatty Acyls;-0.3691200944362347;-0.12577455476591692;-0.4093052136584643;0.039256998634298323;-0.3106360357860909;-0.07890535637667041;-0.26210370405221983;0.05798479653171163;-0.5299964340110462;-0.12756211975706183;-0.48402699734619736;-0.2767682308080789;-0.6087411114340168;0.061854719985503355;-0.8038226788085667;-0.38569191532400954;-0.6957008501948198;-0.6957008501948198;0.06750316744739955;0.9958155794174955;Acid;Neutral
Phenylpropanoids and polyketides;-0.25054604513102235;0.3645362689105855;-0.5723757404522577;-0.15013800829687152;-0.6350589869592795;-0.49602057931362725;-0.26210370405221983;0.3780732971156431;-0.26170689117505663;0.5431617373329121;-0.4501522985034735;-0.0014689285831719398;-0.38728088380536857;1.0356940153844603;0.03243884816054766;0.868700375129662;0.6361897951160114;1.302135117771427;-1.3849215845779979;-0.4025149424019834;Neutral;Acid
Prenol lipids;-0.4197416705272204;0.07468249898549446;-0.4230984150708652;0.20469612899398332;-0.6814051228411636;-0.3106360357860909;-0.4221479543441855;0.05798479653171163;-0.5299964340110462;0.2748721944969225;-0.41627847548309416;0.10771370914786295;-0.6038788377614144;0.536700214388635;0.03243884816054766;1.2868311386142193;-0.6957008501948198;-0.0297555275394042;-0.1403279695608311;1.1094299343153282;Neutral;Acid
Glycerophospholipids;0.0028360583796533645;0.3345911112229603;0.2875372891529467;0.798582663867451;0.616286681851591;1.0797480406704318;-0.26210370405221983;0.05798479653171163;0.14072742307892772;0.4090169659149173;0.25785823734229596;0.6443098351738371;-1.2716141163345085;-1.2086806628878917;-0.8038226788085667;-0.8038226788085667;-0.6957008501948198;-0.6957008501948198;0.634315359288028;1.2468240379127065;Acid;Zwitterion
Organic nitrogen compounds;-0.4642754947806119;-0.2015149627633721;-0.7224649205298637;-0.3024881887122703;-0.7277512587230477;-0.4496744434317432;-0.4221479543441855;-0.10205945376025409;-0.5299964340110462;-0.26170689117505663;-0.837142518238476;-0.5051036131723536;-0.23182003960839437;0.789282550655792;-0.8038226788085667;-0.38569191532400954;-0.6957008501948198;-0.0297555275394042;-0.481171034254329;1.5638873539066587;Basic;Neutral
Nucleosides, nucleotides, and analogues;0.04739730493861969;0.5882063043310213;-1.0115681434771906;-0.7524762270615746;-0.6814051228411636;-0.40332830754985904;0.05798479653171163;0.5381175474076088;0.17426361593342643;0.6773065087509069;-0.5215147002729078;-0.05964199187552908;-0.5263935226768471;0.7233839089765602;0.03243884816054766;0.868700375129662;-0.0297555275394042;0.6361897951160114;-0.1403279695608311;0.1031313623630959;Neutral;Acid
Organosulfur compounds;-0.4955917677469746;-0.30829742067144267;-0.6743156407564472;-0.25455644735355515;-0.7277512587230477;-0.5423667151955114;-0.4221479543441855;-0.10205945376025409;-0.5299964340110462;-0.26170689117505663;-0.8304855772793733;-0.5335082318286513;0.03733221476610735;0.6833053845385179;-0.8038226788085667;-0.38569191532400954;-0.6957008501948198;-0.0297555275394042;-1.1735085094129967;1.2230442892131608;Neutral;Basic
Hydrocarbons;-0.6069811729916029;-0.6069811729916029;-0.45678388879360515;-0.3016753346052695;-0.7740973946049318;-0.6814051228411636;-0.4221479543441855;-0.4221479543441855;-0.7982859768470357;-0.7982859768470357;-0.9359378518344228;-0.804997234021286;0.03988363513377768;0.37677143977639793;-0.8038226788085667;-0.38569191532400954;-0.6957008501948198;-0.6957008501948198;-0.1403279695608311;1.5638873539066587;Neutral;Neutral
Sphingolipids;-0.023544199583254627;1.0768032339091018;-0.5086533086542653;0.686661981167466;0.3845560024421705;1.2187864483160842;0.05798479653171163;1.4983830491594032;-0.26170689117505663;1.6163199086768705;0.11019344082486811;1.2507899100546838;-1.2584579278612336;-1.1331038925944275;-0.8038226788085667;0.4505696116451049;-0.6957008501948198;-0.6957008501948198;1.1851728375805497;1.3427935005816338;Neutral;Acid
Endocannabinoids;-0.3110533623817049;-0.2642434867656092;-0.026071153161948604;0.005470251285112436;0.025373449357568793;0.04854651729851084;-0.10205945376025409;-0.10205945376025409;-0.3623154697385527;-0.29524308402955535;-0.3073401386998589;-0.29258214184223597;-0.5379594527460123;-0.46817469105324055;-0.8038226788085667;-0.8038226788085667;-0.6957008501948198;-0.6957008501948198;0.26720178170313397;0.3412981001147639;Neutral;Neutral
